chunk,ifile,new_file,vn_coverage,ngoodlevels,mdv_nfinite,lidar_dt_s,lidar_dt_std_s,vn_gap_max_s,offset_s,corr,coh_5_20s,flag
278,47,false,0.993,43,537,1.0160,0.0117,0.053,-0.8200,0.9649,0.9803,ok
279,47,false,0.993,42,519,1.0160,0.8178,0.063,-0.8200,0.9622,0.9759,LIDAR_CLOCK_JITTER(std=0.82s)
280,48,true,0.994,16,537,1.0160,0.0117,0.059,-0.8200,0.8842,0.8935,NEW_FILE(48)|LOW_COH(0.894)
281,48,false,0.994,41,537,1.0160,0.0115,0.053,-0.7700,0.9656,0.9700,ok
282,48,false,0.993,42,537,1.0160,0.0117,0.053,-0.8200,0.9421,0.9801,ok
283,48,false,0.993,44,537,1.0160,0.0120,0.053,-0.8200,0.9493,0.9590,ok
284,48,false,0.994,41,537,1.0160,0.0117,0.053,-0.7700,0.9645,0.9752,ok
285,48,false,0.994,23,543,1.0200,0.8159,0.053,-1.0700,0.3241,0.2658,LIDAR_CLOCK_JITTER(std=0.82s)|LOW_CORR(0.324)|LOW_COH(0.266)
286,49,true,0.994,26,537,1.0200,0.0108,0.053,-9999.0000,-9999.0000,-9999.0000,NEW_FILE(49)|SENTINEL_OFFSET
287,49,false,0.993,25,537,1.0200,0.0111,0.053,0.9700,0.1117,0.1162,LOW_CORR(0.112)|LOW_COH(0.116)
288,49,false,0.994,29,537,1.0200,0.0101,0.054,-9999.0000,-9999.0000,-9999.0000,SENTINEL_OFFSET
289,49,false,0.994,26,537,1.0200,0.0102,0.053,-9999.0000,-9999.0000,-9999.0000,SENTINEL_OFFSET
290,49,false,0.994,26,537,1.0200,0.0104,0.053,-9999.0000,-9999.0000,-9999.0000,SENTINEL_OFFSET
291,49,false,0.993,27,519,1.0200,0.8177,0.053,0.2500,0.2181,0.1400,LIDAR_CLOCK_JITTER(std=0.82s)|LOW_CORR(0.218)|LOW_COH(0.14)
292,50,true,0.993,27,537,1.0200,0.0102,0.053,-9999.0000,-9999.0000,-9999.0000,NEW_FILE(50)|SENTINEL_OFFSET
293,50,false,0.994,28,537,1.0200,0.0100,0.053,6.3200,0.1193,0.1609,LOW_CORR(0.119)|LOW_COH(0.161)
294,50,false,0.993,26,537,1.0200,0.0104,0.053,-9999.0000,-9999.0000,-9999.0000,SENTINEL_OFFSET
295,50,false,0.993,28,537,1.0200,0.0102,0.059,7.1400,0.2181,0.1319,LOW_CORR(0.218)|LOW_COH(0.132)
296,50,false,0.992,26,537,1.0200,0.0127,0.056,11.0200,0.1222,0.1399,LOW_CORR(0.122)|LOW_COH(0.14)
297,50,false,0.993,29,519,1.0200,0.8178,0.053,-9999.0000,-9999.0000,-9999.0000,LIDAR_CLOCK_JITTER(std=0.82s)|SENTINEL_OFFSET
298,51,true,0.993,30,537,1.0200,0.0111,0.053,-9999.0000,-9999.0000,-9999.0000,NEW_FILE(51)|SENTINEL_OFFSET
299,51,false,0.992,26,538,1.0200,0.0109,0.056,5.7200,0.0861,0.1213,LOW_CORR(0.086)|LOW_COH(0.121)
300,51,false,0.993,23,538,1.0200,0.0112,0.053,-9999.0000,-9999.0000,-9999.0000,SENTINEL_OFFSET
301,51,false,0.993,24,538,1.0200,0.0110,0.054,5.7000,0.0616,0.1832,LOW_CORR(0.062)|LOW_COH(0.183)
302,51,false,0.993,33,538,1.0200,0.0108,0.053,7.3400,0.0729,0.1802,LOW_CORR(0.073)|LOW_COH(0.18)
303,51,false,0.993,25,521,1.0200,0.7899,0.053,-9999.0000,-9999.0000,-9999.0000,LIDAR_CLOCK_JITTER(std=0.79s)|SENTINEL_OFFSET
304,52,true,0.993,27,538,1.0200,0.0110,0.053,-9999.0000,-9999.0000,-9999.0000,NEW_FILE(52)|SENTINEL_OFFSET
305,52,false,0.993,34,538,1.0200,0.0109,0.053,13.8800,0.1688,0.1490,LOW_CORR(0.169)|LOW_COH(0.149)
